'2017', '65 208 km', '1 422 cm3', 'Diesel', '35 900 PLN', '(Mazowieckie)'
'2017', '69 205 km', '1 197 cm3', 'Benzyna', '35 900 PLN', '(Wielkopolskie)'
'2020', '1 km', '999 cm3', 'Benzyna', '59 500 PLN', '(Dolnoœl¹skie)'
'2017', '43 969 km', '999 cm3', 'Benzyna', '33 900 PLN', '(Mazowieckie)'
'2020', '1 km', '999 cm3', 'Benzyna', '54 850 PLN', '(Dolnoœl¹skie)'
'2017', '118 130 km', '1 422 cm3', 'Diesel', '30 000 PLN', '(Ma³opolskie)'
'2020', '1 km', '999 cm3', 'Benzyna', '53 650 PLN', '(Dolnoœl¹skie)'
'2020', '10 km', '999 cm3', 'Benzyna', '63 900 PLN', '(Ma³opolskie)'
'2021', '1 km', '999 cm3', 'Benzyna', '63 100 PLN', '(Dolnoœl¹skie)'
'2019', '28 053 km', '999 cm3', 'Benzyna', '48 000 PLN', '(Dolnoœl¹skie)'
'2017', '48 090 km', '999 cm3', 'Benzyna', '31 900 PLN', '(Pomorskie)'
'2017', '149 000 km', '1 422 cm3', 'Diesel', '28 900 PLN', '(Mazowieckie)'
'2020', '10 km', '999 cm3', 'Benzyna', '52 200 PLN', '(Ma³opolskie)'
'2020', '10 km', '998 cm3', 'Benzyna', '55 900 PLN', '(Ma³opolskie)'
'2019', '31 600 km', '1 000 cm3', 'Benzyna', '49 986 PLN', '(Ma³opolskie)'
'2020', '8 km', '999 cm3', 'Benzyna', '64 750 PLN', '(Wielkopolskie)'
'2019', '39 663 km', '999 cm3', 'Benzyna', '42 999 PLN', '(Pomorskie)'
'2020', '3 km', '1 000 cm3', 'Benzyna', '75 000 PLN', '(Wielkopolskie)'
'2017', '139 839 km', '1 422 cm3', 'Diesel', '29 000 PLN', '(Mazowieckie)'
'2018', '22 700 km', '999 cm3', 'Benzyna', '42 900 PLN', '(Kujawsko-pomorskie)'
'2018', '122 000 km', '999 cm3', 'Benzyna+LPG', '28 000 PLN', '(Mazowieckie)'
'2020', '7 km', '999 cm3', 'Benzyna', '62 400 PLN', '(£ódzkie)'
'2017', '32 450 km', '1 197 cm3', 'Benzyna', '39 000 PLN', '(£ódzkie)'
'2018', '26 900 km', '999 cm3', 'Benzyna', '43 900 PLN', '(Wielkopolskie)'
'2020', '2 201 km', '999 cm3', 'Benzyna', '54 500 PLN', '(Œl¹skie)'
'2020', '2 492 km', '999 cm3', 'Benzyna', '61 000 PLN', '(Œl¹skie)'
'2020', '3 492 km', '999 cm3', 'Benzyna', '62 900 PLN', '(Œl¹skie)'
'2020', '5 000 km', '999 cm3', 'Benzyna', '59 900 PLN', '(Kujawsko-pomorskie)'
'2019', '22 592 km', '999 cm3', 'Benzyna+LPG', '42 501 PLN', '(Œl¹skie)'
'2020', '5 000 km', '999 cm3', 'Benzyna', '64 900 PLN', '(Kujawsko-pomorskie)'
'2020', '5 km', '999 cm3', 'Benzyna', '57 500 PLN', '(Podlaskie)'
'2017', '125 600 km', '999 cm3', 'Benzyna+LPG', '24 800 PLN', '(Mazowieckie)'
'2017', '104 000 km', '999 cm3', 'Benzyna+LPG', '28 900 PLN', '(Œl¹skie)'
'2017', '129 000 km', '1 000 cm3', 'Benzyna', '29 900 PLN', '(Mazowieckie)'
'2018', '99 130 km', '999 cm3', 'Benzyna', '32 500 PLN', '(Dolnoœl¹skie)'
'2020', '8 km', '999 cm3', 'Benzyna', '52 950 PLN', '(Warmiñsko-mazurskie)'
'2017', '128 000 km', '1 422 cm3', 'Diesel', '28 905 PLN', '(Mazowieckie)'
'2020', '1 km', '999 cm3', 'Benzyna', '66 400 PLN', '(Mazowieckie)'
'2020', '1 km', '999 cm3', 'Benzyna', '63 400 PLN', '(Mazowieckie)'
'2019', '52 000 km', '999 cm3', 'Benzyna', '48 900 PLN', '(£ódzkie)'
'2019', '16 600 km', '999 cm3', 'Benzyna', '49 300 PLN', '(Œl¹skie)'
'2019', '16 750 km', '999 cm3', 'Benzyna', '47 900 PLN', '(Œl¹skie)'
'2019', '40 430 km', '1 000 cm3', 'Benzyna', '49 900 PLN', '(Opolskie)'
'2018', '37 794 km', '999 cm3', 'Benzyna', '43 500 PLN', '(Opolskie)'
'2017', '131 432 km', '1 422 cm3', 'Diesel', '27 900 PLN', '(Mazowieckie)'
'2017', '74 124 km', '1 197 cm3', 'Benzyna', '35 000 PLN', '(Mazowieckie)'
'2020', '10 km', '999 cm3', 'Benzyna', '54 950 PLN', '(Ma³opolskie)'
'2018', '54 000 km', '999 cm3', 'Benzyna', '38 900 PLN', '(Dolnoœl¹skie)'
'2017', '101 176 km', '999 cm3', 'Benzyna', '30 800 PLN', '(Podkarpackie)'
'2020', '10 km', '999 cm3', 'Benzyna', '57 900 PLN', '(Œl¹skie)'
'2020', '5 km', '999 cm3', 'Benzyna', '66 300 PLN', '(Mazowieckie)'
'2020', '5 km', '999 cm3', 'Benzyna', '57 000 PLN', '(Wielkopolskie)'
'2017', '177 000 km', '1 422 cm3', 'Diesel', '24 900 PLN', '(Mazowieckie)'
'2017', '174 756 km', '1 422 cm3', 'Diesel', '29 400 PLN', '(Mazowieckie)'
'2019', '54 983 km', '999 cm3', 'Benzyna', '47 300 PLN', '(Œl¹skie)'
'2019', '29 560 km', '999 cm3', 'Benzyna+LPG', '39 900 PLN', '(Œl¹skie)'
'2017', '90 349 km', '999 cm3', 'Benzyna', '29 900 PLN', '(Mazowieckie)'
'2020', '1 km', '999 cm3', 'Benzyna', '53 650 PLN', '(Œl¹skie)'
'2018', '58 902 km', '999 cm3', 'Benzyna', '39 900 PLN', '(Mazowieckie)'
'2020', '5 km', '999 cm3', 'Benzyna', '71 950 PLN', '(Mazowieckie)'
'2017', '114 700 km', '1 422 cm3', 'Diesel', '22 000 PLN', '(Ma³opolskie)'
'2017', '114 700 km', '1 422 cm3', 'Diesel', '22 000 PLN', '(Ma³opolskie)'
'2020', '7 km', '999 cm3', 'Benzyna', '59 900 PLN', '(Mazowieckie)'
'2020', '1 km', '999 cm3', 'Benzyna', '51 900 PLN', '(Œl¹skie)'
'2017', '122 166 km', '999 cm3', 'Benzyna', '27 900 PLN', '(Mazowieckie)'
'2017', '78 877 km', '999 cm3', 'Benzyna', '30 900 PLN', '(Mazowieckie)'
'2019', '7 251 km', '1 000 cm3', 'Benzyna', '44 800 PLN', '(Ma³opolskie)'
'2018', '137 293 km', '999 cm3', 'Benzyna+LPG', '29 900 PLN', '(Podkarpackie)'
'2017', '39 764 km', '999 cm3', 'Benzyna', '38 000 PLN', '(Mazowieckie)'
'2020', '1 km', '999 cm3', 'Benzyna', '52 350 PLN', '(Œl¹skie)'
'2020', '1 000 cm3', 'Benzyna', '62 000 PLN', '(Dolnoœl¹skie)'
'2017', '42 164 km', '1 197 cm3', 'Benzyna', '38 900 PLN', '(Wielkopolskie)'
'2020', '7 km', '999 cm3', 'Benzyna', '55 200 PLN', '(£ódzkie)'
'2017', '160 058 km', '1 197 cm3', 'Benzyna', '29 799 PLN', '(Mazowieckie)'
'2017', '96 950 km', '999 cm3', 'Benzyna', '33 500 PLN', '(Wielkopolskie)'
'2017', '53 266 km', '999 cm3', 'Benzyna', '37 900 PLN', '(Ma³opolskie)'
'2020', '1 km', '999 cm3', 'Benzyna', '47 100 PLN', '(Œl¹skie)'
'2020', '1 900 km', '999 cm3', 'Benzyna', '59 900 PLN', '(Podkarpackie)'
'2017', '99 756 km', '999 cm3', 'Benzyna', '32 900 PLN', '(Mazowieckie)'
'2020', '5 km', '999 cm3', 'Benzyna', '58 500 PLN', '(Wielkopolskie)'
'2020', '5 km', '999 cm3', 'Benzyna', '56 000 PLN', '(Wielkopolskie)'
'2019', '37 062 km', '999 cm3', 'Benzyna', '42 900 PLN', '(Pomorskie)'
'2020', '1 km', '999 cm3', 'Benzyna', '58 760 PLN', '(Lubuskie)'
'2017', '43 050 km', '1 197 cm3', 'Benzyna', '14 900 PLN', '(Podlaskie)'
'2017', '124 843 km', '1 422 cm3', 'Diesel', '29 900 PLN', '(Mazowieckie)'
'2018', '40 560 km', '999 cm3', 'Benzyna', '38 500 PLN', '(Mazowieckie)'
'2018', '42 262 km', '999 cm3', 'Benzyna', '38 500 PLN', '(Mazowieckie)'
'2018', '62 773 km', '999 cm3', 'Benzyna', '36 900 PLN', '(Mazowieckie)'
'2018', '50 287 km', '999 cm3', 'Benzyna', '37 500 PLN', '(Mazowieckie)'
'2020', '3 km', '1 000 cm3', 'Benzyna', '68 000 PLN', '(Wielkopolskie)'
'2018', '49 780 km', '999 cm3', 'Benzyna', '37 500 PLN', '(Mazowieckie)'
'2018', '85 971 km', '999 cm3', 'Benzyna', '35 900 PLN', '(Mazowieckie)'
'2018', '107 495 km', '999 cm3', 'Benzyna', '33 900 PLN', '(Mazowieckie)'
'2018', '67 950 km', '999 cm3', 'Benzyna+LPG', '39 250 PLN', '(Mazowieckie)'
'2017', '104 000 km', '999 cm3', 'Benzyna+LPG', '27 900 PLN', '(Mazowieckie)'
'2017', '139 990 km', '999 cm3', 'Benzyna', '27 500 PLN', '(Mazowieckie)'
'2019', '30 400 km', '999 cm3', 'Benzyna+LPG', '43 900 PLN', '(Mazowieckie)'
'2020', '1 680 km', '999 cm3', 'Benzyna', '11 131 EUR', '(Holandia)'
'2017', '106 158 km', '1 422 cm3', 'Diesel', '29 900 PLN', '(Pomorskie)'
'2019', '70 100 km', '999 cm3', 'Benzyna', '44 900 PLN', '(Kujawsko-pomorskie)'
'2017', '168 939 km', '1 422 cm3', 'Diesel', '28 800 PLN', '(Wielkopolskie)'
'2017', '112 000 km', '999 cm3', 'Benzyna+LPG', '31 900 PLN', '(Zachodniopomorskie)'
'2018', '80 100 km', '999 cm3', 'Benzyna', '32 900 PLN', '(Dolnoœl¹skie)'
'2018', '71 037 km', '999 cm3', 'Benzyna', '34 500 PLN', '(Dolnoœl¹skie)'
'2019', '45 900 km', '999 cm3', 'Benzyna+LPG', '47 490 PLN', '(Pomorskie)'
'2017', '140 000 km', '999 cm3', 'Benzyna+LPG', '25 900 PLN', '(Œwiêtokrzyskie)'
'2017', '127 364 km', '1 422 cm3', 'Diesel', '29 000 PLN', '(Mazowieckie)'
'2018', '98 168 km', '999 cm3', 'Benzyna', '37 075 PLN', '(Œl¹skie)'
'2017', '115 000 km', '1 422 cm3', 'Diesel', '31 900 PLN', '(Dolnoœl¹skie)'
'2018', '55 844 km', '999 cm3', 'Benzyna+LPG', '21 279 PLN', '(Mazowieckie)'
'2017', '97 000 km', '999 cm3', 'Benzyna+LPG', '32 000 PLN', '(£ódzkie)'
'2017', '128 000 km', '1 422 cm3', 'Diesel', '28 900 PLN', '(Mazowieckie)'
'2017', '53 877 km', '999 cm3', 'Benzyna', '28 900 PLN', '(Wielkopolskie)'
'2018', '55 000 km', '1 422 cm3', 'Diesel', '36 900 PLN', '(Mazowieckie)'
'2017', '156 000 km', '999 cm3', 'Benzyna', '24 800 PLN', '(Mazowieckie)'
'2019', '8 700 km', '999 cm3', 'Benzyna+LPG', '46 900 PLN', '(Mazowieckie)'
'2019', '50 200 km', '999 cm3', 'Benzyna', '41 900 PLN', '(Pomorskie)'
'2019', '38 500 km', '999 cm3', 'Benzyna', '42 900 PLN', '(Pomorskie)'
'2019', '50 760 km', '999 cm3', 'Benzyna', '47 900 PLN', '(Pomorskie)'
'2017', '68 500 km', '999 cm3', 'Benzyna', '30 700 PLN', '(Dolnoœl¹skie)'
'2021', '1 km', '998 cm3', 'Benzyna', '56 990 PLN', '(Ma³opolskie)'
'2018', '45 000 km', '999 cm3', 'Benzyna', '44 600 PLN', '(£ódzkie)'
'2017', '100 000 km', '1 197 cm3', 'Benzyna', '35 900 PLN', '(Œl¹skie)'
'2018', '148 000 km', '999 cm3', 'Benzyna+LPG', '26 900 PLN', '(Œl¹skie)'
'2017', '44 204 km', '1 400 cm3', 'Diesel', '17 900 PLN', '(Mazowieckie)'
'2018', '1 709 km', '999 cm3', 'Benzyna', '59 900 PLN', '(Wielkopolskie)'
'2020', '7 km', '999 cm3', 'Benzyna', '60 600 PLN', '(£ódzkie)'
'2019', '27 090 km', '999 cm3', 'Benzyna', '46 900 PLN', '(Wielkopolskie)'
'2017', '113 320 km', '999 cm3', 'Benzyna+LPG', '36 900 PLN', '(Pomorskie)'
'2018', '19 000 km', '999 cm3', 'Benzyna', '39 900 PLN', '(Ma³opolskie)'
'2021', '1 km', '999 cm3', 'Benzyna', '66 700 PLN', '(Œl¹skie)'
'2020', '15 km', '999 cm3', 'Benzyna+LPG', '54 900 PLN', '(Pomorskie)'
'2020', '10 km', '999 cm3', 'Benzyna', '61 990 PLN', '(Œl¹skie)'
'2017', '50 000 km', '1 000 cm3', 'Benzyna', '33 900 PLN', '(Ma³opolskie)'
'2019', '19 000 km', '999 cm3', 'Benzyna', '67 500 PLN', '(Œl¹skie)'
'2020', '1 km', '999 cm3', 'Benzyna', '59 850 PLN', '(£ódzkie)'
'2020', '8 km', '999 cm3', 'Benzyna', '65 230 PLN', '(Warmiñsko-mazurskie)'
'2020', '8 km', '999 cm3', 'Benzyna', '62 580 PLN', '(Warmiñsko-mazurskie)'
'2018', '76 901 km', '999 cm3', 'Benzyna+LPG', '45 000 PLN', '(Œl¹skie)'
'2021', '8 km', '999 cm3', 'Benzyna', '62 990 PLN', '(Warmiñsko-mazurskie)'
'2020', '1 km', '999 cm3', 'Benzyna', '50 600 PLN', '(Œl¹skie)'
'2020', '8 km', '999 cm3', 'Benzyna', '62 260 PLN', '(Warmiñsko-mazurskie)'
'2019', '17 931 km', '999 cm3', 'Benzyna', '51 900 PLN', '(Ma³opolskie)'
'2020', '10 km', '999 cm3', 'Benzyna', '61 700 PLN', '(Dolnoœl¹skie)'
'2017', '60 461 km', '1 000 cm3', 'Benzyna', '39 900 PLN', '(Œl¹skie)'
'2017', '144 000 km', '1 422 cm3', 'Diesel', '26 900 PLN', '(Mazowieckie)'
'2020', '1 km', '999 cm3', 'Benzyna', '60 500 PLN', '(Mazowieckie)'
'2020', '1 km', '999 cm3', 'Benzyna', '65 500 PLN', '(Mazowieckie)'
'2021', '5 km', '999 cm3', 'Benzyna', '63 500 PLN', '(Pomorskie)'
'2017', '139 722 km', '999 cm3', 'Benzyna+LPG', '27 900 PLN', '(Œl¹skie)'
'2021', '5 km', '999 cm3', 'Benzyna', '63 850 PLN', '(Pomorskie)'
'2019', '51 353 km', '999 cm3', 'Benzyna', '44 900 PLN', '(Pomorskie)'
'2017', '37 102 km', '1 197 cm3', 'Benzyna', '42 800 PLN', '(Lubelskie)'
'2020', '1 km', '999 cm3', 'Benzyna', '54 690 PLN', '(Podkarpackie)'
'2020', '7 km', '999 cm3', 'Benzyna', '66 200 PLN', '(Mazowieckie)'
'2020', '1 km', '999 cm3', 'Benzyna', '58 490 PLN', '(Podkarpackie)'
'2020', '1 km', '999 cm3', 'Benzyna', '55 990 PLN', '(Podkarpackie)'
'2020', '1 km', '999 cm3', 'Benzyna', '54 590 PLN', '(Podkarpackie)'
'2020', '1 km', '999 cm3', 'Benzyna', '55 990 PLN', '(Podkarpackie)'
'2020', '7 km', '999 cm3', 'Benzyna', '61 990 PLN', '(Wielkopolskie)'
'2020', '7 km', '999 cm3', 'Benzyna', '61 990 PLN', '(Wielkopolskie)'
'2019', '68 000 km', '999 cm3', 'Benzyna+LPG', '44 777 PLN', '(Mazowieckie)'
'2017', '136 000 km', '1 422 cm3', 'Diesel', '29 900 PLN', '(Mazowieckie)'
'2017', '94 900 km', '999 cm3', 'Benzyna', '30 900 PLN', '(Dolnoœl¹skie)'
'2017', '54 446 km', '999 cm3', 'Benzyna', '34 900 PLN', '(Podkarpackie)'
'2020', '7 km', '999 cm3', 'Benzyna', '61 990 PLN', '(Wielkopolskie)'
'2020', '9 km', '999 cm3', 'Benzyna', '67 990 PLN', '(Kujawsko-pomorskie)'
'2017', '110 000 km', '999 cm3', 'Benzyna', '34 900 PLN', '(Dolnoœl¹skie)'
'2020', '7 km', '999 cm3', 'Benzyna', '61 990 PLN', '(Wielkopolskie)'
'2020', '7 km', '999 cm3', 'Benzyna', '61 990 PLN', '(Wielkopolskie)'
'2020', '7 km', '999 cm3', 'Benzyna', '61 990 PLN', '(Wielkopolskie)'
'2019', '75 704 km', '999 cm3', 'Benzyna+LPG', '19 800 PLN', '(Œl¹skie)'
'2017', '122 989 km', '1 000 cm3', 'Benzyna', '32 900 PLN', '(Ma³opolskie)'
'2017', '30 543 km', '999 cm3', 'Benzyna', '33 900 PLN', '(Zachodniopomorskie)'
'2020', '10 km', '999 cm3', 'Benzyna', '62 050 PLN', '(Dolnoœl¹skie)'
'2017', '170 980 km', '999 cm3', 'Benzyna', '29 900 PLN', '(Wielkopolskie)'
'2017', '94 082 km', '999 cm3', 'Benzyna', '32 002 PLN', '(Œl¹skie)'
'2019', '26 000 km', '999 cm3', 'Benzyna', '23 199 PLN', '(Wielkopolskie)'
'2020', '1 km', '999 cm3', 'Benzyna', '51 300 PLN', '(Zachodniopomorskie)'
'2017', '90 518 km', '999 cm3', 'Benzyna', '34 900 PLN', '(Mazowieckie)'
'2018', '23 700 km', '999 cm3', 'Benzyna', '45 900 PLN', '(Pomorskie)'
'2017', '78 196 km', '1 422 cm3', 'Diesel', '28 002 PLN', '(Dolnoœl¹skie)'
'2020', '1 km', '999 cm3', 'Benzyna', '52 500 PLN', '(Dolnoœl¹skie)'
'2017', '148 456 km', '1 197 cm3', 'Benzyna+LPG', '32 000 PLN', '(£ódzkie)'
'2020', '6 461 km', '999 cm3', 'Benzyna', '58 999 PLN', '(Mazowieckie)'
'2018', '89 000 km', '999 cm3', 'Benzyna', '35 900 PLN', '(Mazowieckie)'
'2019', '18 000 km', '999 cm3', 'Benzyna', '36 600 PLN', '(Œl¹skie)'
'2017', '157 664 km', '1 422 cm3', 'Diesel', '29 900 PLN', '(Wielkopolskie)'
'2017', '165 866 km', '1 422 cm3', 'Diesel', '28 700 PLN', '(Wielkopolskie)'
'2017', '140 550 km', '1 422 cm3', 'Diesel', '27 800 PLN', '(Wielkopolskie)'
'2017', '53 923 km', '999 cm3', 'Benzyna', '30 002 PLN', '(Œl¹skie)'
'2017', '44 830 km', '999 cm3', 'Benzyna', '25 900 PLN', '(Wielkopolskie)'
'2017', '131 176 km', '1 197 cm3', 'Benzyna+LPG', '32 002 PLN', '(Mazowieckie)'
'2020', '1 km', '999 cm3', 'Benzyna', '68 700 PLN', '(Œl¹skie)'
'2020', '10 km', '999 cm3', 'Benzyna', '48 000 PLN', '(Œl¹skie)'
'2020', '4 km', '999 cm3', 'Benzyna', '55 000 PLN', '(Œl¹skie)'
'2019', '3 000 km', '999 cm3', 'Benzyna', '58 200 PLN', '(Podkarpackie)'
'2017', '62 000 km', '1 197 cm3', 'Benzyna', '47 000 PLN', '(Mazowieckie)'
'2020', '10 km', '999 cm3', 'Benzyna', '64 499 PLN', '(Mazowieckie)'
'2017', '165 000 km', '1 422 cm3', 'Diesel', '34 900 PLN', '(Mazowieckie)'
'2021', '10 km', '999 cm3', 'Benzyna', '61 599 PLN', '(Mazowieckie)'
'2017', '54 810 km', '999 cm3', 'Benzyna+LPG', '32 900 PLN', '(Ma³opolskie)'
'2020', '10 km', '999 cm3', 'Benzyna', '64 499 PLN', '(Mazowieckie)'
'2021', '10 km', '999 cm3', 'Benzyna', '63 499 PLN', '(Mazowieckie)'
'2021', '10 km', '999 cm3', 'Benzyna', '64 999 PLN', '(Mazowieckie)'
'2021', '10 km', '999 cm3', 'Benzyna', '64 999 PLN', '(Mazowieckie)'
'2020', '10 km', '999 cm3', 'Benzyna', '61 499 PLN', '(Mazowieckie)'
'2018', '41 690 km', '999 cm3', 'Benzyna', '39 002 PLN', '(Mazowieckie)'
'2018', '43 699 km', '999 cm3', 'Benzyna', '36 002 PLN', '(Mazowieckie)'
'2018', '82 542 km', '999 cm3', 'Benzyna', '32 900 PLN', '(Dolnoœl¹skie)'
'2019', '12 777 km', '999 cm3', 'Benzyna', '47 900 PLN', '(Mazowieckie)'
'2017', '147 758 km', '1 422 cm3', 'Diesel', '18 500 PLN', '(Dolnoœl¹skie)'
'2018', '31 850 km', '999 cm3', 'Benzyna+LPG', '36 285 PLN', '(Mazowieckie)'
'2020', '10 km', '999 cm3', 'Benzyna', '62 999 PLN', '(Mazowieckie)'
'2021', '10 km', '999 cm3', 'Benzyna', '62 999 PLN', '(Mazowieckie)'
'2020', '2 355 km', '999 cm3', 'Benzyna', '52 500 PLN', '(Wielkopolskie)'
'2020', '4 147 km', '999 cm3', 'Benzyna', '52 500 PLN', '(Wielkopolskie)'
'2020', '2 948 km', '999 cm3', 'Benzyna', '52 500 PLN', '(Wielkopolskie)'
'2017', '19 320 km', '999 cm3', 'Benzyna', '53 900 PLN', '(Dolnoœl¹skie)'
'2018', '94 376 km', '999 cm3', 'Benzyna', '34 900 PLN', '(Mazowieckie)'
'2017', '90 604 km', '999 cm3', 'Benzyna', '32 900 PLN', '(Mazowieckie)'
'2017', '120 694 km', '1 422 cm3', 'Diesel', '31 900 PLN', '(Mazowieckie)'
'2020', '10 km', '999 cm3', 'Benzyna', '56 999 PLN', '(Mazowieckie)'
'2017', '154 995 km', '1 422 cm3', 'Diesel', '29 900 PLN', '(Mazowieckie)'
'2018', '84 302 km', '999 cm3', 'Benzyna', '35 900 PLN', '(Mazowieckie)'
'2018', '59 467 km', '999 cm3', 'Benzyna', '36 900 PLN', '(Mazowieckie)'
'2018', '44 602 km', '999 cm3', 'Benzyna', '43 900 PLN', '(Wielkopolskie)'
'2018', '33 118 km', '999 cm3', 'Benzyna', '43 900 PLN', '(Wielkopolskie)'
'2020', '10 km', '999 cm3', 'Benzyna', '56 999 PLN', '(Mazowieckie)'
'2017', '126 997 km', '999 cm3', 'Benzyna', '29 900 PLN', '(Wielkopolskie)'
'2021', '10 km', '999 cm3', 'Benzyna', '60 999 PLN', '(Mazowieckie)'
'2021', '10 km', '999 cm3', 'Benzyna', '61 699 PLN', '(Mazowieckie)'
'2020', '9 km', '999 cm3', 'Benzyna', '56 000 PLN', '(Pomorskie)'
'2018', '53 819 km', '999 cm3', 'Benzyna', '35 700 PLN', '(Dolnoœl¹skie)'
'2017', '125 100 km', '999 cm3', 'Benzyna+LPG', '39 900 PLN', '(Pomorskie)'
'2021', '10 km', '999 cm3', 'Benzyna', '58 499 PLN', '(Mazowieckie)'
'2020', '3 km', '1 000 cm3', 'Benzyna', '51 105 PLN', '(Œwiêtokrzyskie)'
'2020', '3 km', '1 000 cm3', 'Benzyna', '54 225 PLN', '(Œwiêtokrzyskie)'
'2020', '3 km', '1 000 cm3', 'Benzyna', '53 591 PLN', '(Œwiêtokrzyskie)'
'2020', '3 km', '1 000 cm3', 'Benzyna', '52 421 PLN', '(Œwiêtokrzyskie)'
'2017', '141 348 km', '1 400 cm3', 'Diesel', '29 799 PLN', '(Dolnoœl¹skie)'
'2021', '10 km', '999 cm3', 'Benzyna', '58 499 PLN', '(Mazowieckie)'
'2017', '55 578 km', '999 cm3', 'Benzyna', '38 900 PLN', '(Ma³opolskie)'
'2020', '10 km', '999 cm3', 'Benzyna', '66 700 PLN', '(Dolnoœl¹skie)'
'2020', '9 km', '999 cm3', 'Benzyna', '52 400 PLN', '(Ma³opolskie)'
'2019', '97 200 km', '1 000 cm3', 'Benzyna+LPG', '37 500 PLN', '(Œl¹skie)'
'2020', '9 km', '999 cm3', 'Benzyna', '53 500 PLN', '(Ma³opolskie)'
'2019', '77 897 km', '999 cm3', 'Benzyna', '47 355 PLN', '(Dolnoœl¹skie)'
'2019', '78 492 km', '999 cm3', 'Benzyna', '43 296 PLN', '(Dolnoœl¹skie)'
'2017', '75 100 km', '999 cm3', 'Benzyna', '32 900 PLN', '(Podlaskie)'
'2020', '10 km', '999 cm3', 'Benzyna', '60 850 PLN', '(Œl¹skie)'
'2020', '10 km', '999 cm3', 'Benzyna', '59 850 PLN', '(Œl¹skie)'
'2017', '137 708 km', '1 422 cm3', 'Diesel', '33 800 PLN', '(Wielkopolskie)'
'2018', '144 626 km', '999 cm3', 'Benzyna', '30 100 PLN', '(Dolnoœl¹skie)'
'2018', '46 223 km', '999 cm3', 'Benzyna', '37 400 PLN', '(Dolnoœl¹skie)'
'2019', '42 135 km', '1 000 cm3', 'Benzyna', '49 900 PLN', '(Opolskie)'
'2019', '28 303 km', '1 000 cm3', 'Benzyna', '49 900 PLN', '(Opolskie)'
'2019', '9 567 km', '1 000 cm3', 'Benzyna', '54 900 PLN', '(Opolskie)'
'2020', '71 km', '1 000 cm3', 'Benzyna', '66 500 PLN', '(Dolnoœl¹skie)'
'2018', '127 812 km', '999 cm3', 'Benzyna+LPG', '37 300 PLN', '(Ma³opolskie)'
'2020', '9 km', '999 cm3', 'Benzyna', '62 000 PLN', '(Mazowieckie)'
'2017', '40 000 km', '999 cm3', 'Benzyna', '29 900 PLN', '(Wielkopolskie)'
'2018', '92 230 km', '999 cm3', 'Benzyna', '33 900 PLN', '(Wielkopolskie)'
'2020', '8 750 km', '999 cm3', 'Benzyna', '55 000 PLN', '(Wielkopolskie)'
'2018', '35 050 km', '999 cm3', 'Benzyna', '36 900 PLN', '(Lubuskie)'
'2019', '7 100 km', '999 cm3', 'Benzyna', '48 900 PLN', '(Wielkopolskie)'
'2020', '1 km', '999 cm3', 'Benzyna', '70 050 PLN', '(Dolnoœl¹skie)'
'2018', '103 000 km', '1 000 cm3', 'Benzyna+LPG', '19 900 PLN', '(£ódzkie)'
'2019', '28 064 km', '999 cm3', 'Benzyna', '49 500 PLN', '(Kujawsko-pomorskie)'
'2017', '85 000 km', '1 422 cm3', 'Diesel', '34 800 PLN', '(Œl¹skie)'
'2019', '85 102 km', '999 cm3', 'Benzyna+LPG', '38 899 PLN', '(Œl¹skie)'
'2017', '123 124 km', '1 422 cm3', 'Diesel', '28 900 PLN', '(Podlaskie)'
'2020', '1 km', '999 cm3', 'Benzyna', '55 900 PLN', '(Dolnoœl¹skie)'
'2017', '102 495 km', '999 cm3', 'Benzyna', '35 900 PLN', '(Ma³opolskie)'
'2018', '33 000 km', '1 422 cm3', 'Diesel', '22 500 PLN', '(Wielkopolskie)'
'2020', '1 km', '999 cm3', 'Benzyna', '60 800 PLN', '(Dolnoœl¹skie)'
'2017', '72 000 km', '999 cm3', 'Benzyna', '29 900 PLN', '(Œl¹skie)'
'2019', '12 200 km', '999 cm3', 'Benzyna', '47 800 PLN', '(Œl¹skie)'
'2020', '7 km', '999 cm3', 'Benzyna', '54 800 PLN', '(£ódzkie)'
'2020', '7 km', '999 cm3', 'Benzyna', '60 350 PLN', '(£ódzkie)'
'2020', '7 km', '999 cm3', 'Benzyna+LPG', '55 200 PLN', '(£ódzkie)'
'2020', '7 km', '999 cm3', 'Benzyna+LPG', '52 700 PLN', '(£ódzkie)'
'2020', '7 km', '999 cm3', 'Benzyna+LPG', '52 650 PLN', '(£ódzkie)'
'2021', '1 km', '999 cm3', 'Benzyna', '61 000 PLN', '(Ma³opolskie)'
'2021', '1 km', '999 cm3', 'Benzyna', '57 900 PLN', '(Ma³opolskie)'
'2020', '5 km', '999 cm3', 'Benzyna', '52 900 PLN', '(Mazowieckie)'
'2020', '7 km', '999 cm3', 'Benzyna+LPG', '55 700 PLN', '(£ódzkie)'
'2020', '1 km', '999 cm3', 'Benzyna', '59 850 PLN', '(£ódzkie)'
'2019', '29 726 km', '999 cm3', 'Benzyna+LPG', '33 333 PLN', '(Mazowieckie)'
'2020', '7 km', '999 cm3', 'Benzyna+LPG', '51 900 PLN', '(£ódzkie)'
'2020', '5 km', '999 cm3', 'Benzyna', '50 900 PLN', '(Mazowieckie)'
'2017', '67 101 km', '1 396 cm3', 'Diesel', '41 888 PLN', '(Moravian-Silesian Region)'
